name,type,catagory,power,accuracy,pp,effect
G-Max Sweetness,grass,physical,none,∞,10,Appletun-exclusive G-Max Move. Heals status conditions of user's team.
G-Max Tartness,grass,physical,none,∞,10,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.
G-Max Terror,ghost,physical,none,∞,10,Gengar-exclusive G-Max Move. Prevents opponent from switching out.
G-Max Vine Lash,grass,physical,none,∞,10,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.
G-Max Volcalith,rock,physical,none,∞,10,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.
G-Max Volt Crash,electric,physical,none,∞,10,Pikachu-exclusive G-Max Move. Paralyzes opponents.
G-Max Wildfire,fire,physical,none,∞,10,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.
G-Max Wind Rage,flying,physical,none,∞,10,Corviknight-exclusive G-Max Move. Removes battlefield hazards.
Glacial Lance,ice,physical,130,100,5,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
Grassy Glide,grass,physical,70,100,20,High priority during Grassy Terrain.
Grav Apple,grass,physical,80,100,10,Lowers the opponent's Defense stat.
Jaw Lock,dark,physical,80,100,10,Prevents user and opponent from switching out.
Jungle Healing,grass,status,none,none,10,Restores team's HP and cures status conditions.
Lash Out,dark,physical,75,100,5,Double power if stats were lowered during the turn.
Life Dew,water,status,none,none,10,User and teammates recover HP.
Magic Powder,psychic,status,none,100,20,Changes target's type to Psychic.
Max Airstream,flying,none,none,none,none,Flying type Dynamax move. Raises the team's Speed.
Max Darkness,dark,none,none,none,none,Dark type Dynamax move. Lowers the target's Special Defense.
Max Flare,fire,none,none,none,none,Fire type Dynamax move. Summons harsh sunlight.
Max Flutterby,bug,none,none,none,none,Bug type Dynamax move. Lowers the target's Special Attack.
Max Geyser,water,none,none,none,none,Water type Dynamax move. Summons heavy rain.
Max Guard,normal,none,none,none,none,Status category Dynamax move. Protects the user.
Max Hailstorm,ice,none,none,none,none,Ice type Dynamax move. Summons hail.
Max Knuckle,fighting,none,none,none,none,Fighting type Dynamax move. Increases the team's Attack.
Max Lightning,electric,none,none,none,none,Electric type Dynamax move. Summons Electric Terrain.
Max Mindstorm,psychic,none,none,none,none,Psychic type Dynamax move. Summons Psychic Terrain.
Max Ooze,poison,none,none,none,none,Poison type Dynamax move. Increases the team's Special Attack.
Max Overgrowth,grass,none,none,none,none,Grass type Dynamax move. Summons Grassy Terrain.
Max Phantasm,ghost,none,none,none,none,Ghost type Dynamax move. Lowers the target's Defense.
Max Quake,ground,none,none,none,none,Ground type Dynamax move. Increases the team's Special Defense.
Max Rockfall,rock,none,none,none,none,Rock type Dynamax move. Summons a sandstorm.
Max Starfall,fairy,none,none,none,none,Fairy type Dynamax move. Summons Misty Terrain.
Max Steelspike,steel,none,none,none,none,Steel type Dynamax move. Raises the team's Defense.
Max Strike,normal,none,none,none,none,Normal type Dynamax move. Lowers the target's Speed.
Max Wyrmwind,dragon,none,none,none,none,Dragon type Dynamax move. Lowers the target's Attack.
Meteor Assault,fighting,physical,150,100,5,User must recharge next turn.
Meteor Beam,rock,special,120,90,10,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
Misty Explosion,fairy,special,100,100,5,Power increases on Misty Terrain.
No Retreat,fighting,status,none,none,5,Raises all stats but user cannot switch out.
Obstruct,dark,status,none,100,10,Protects the user and sharply lowers Defence on contact.
Octolock,fighting,status,none,100,15,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out."
Overdrive,electric,special,80,100,10,none
Poltergeist,ghost,physical,110,90,5,Fails if the target doesn’t have an item.
Pyro Ball,fire,physical,120,90,5,May burn opponent.
Rising Voltage,electric,special,70,100,20,Power doubles on Electric Terrain.
Scale Shot,dragon,physical,25,90,20,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.
Scorching Sands,ground,special,70,100,10,May burn the target.
Shell Side Arm,poison,special,90,100,10,"May poison opponent. Inflicts either Special or Physical damage, whichever is better."
Skitter Smack,bug,physical,70,90,10,Lowers opponent's Sp. Attack.
Snap Trap,grass,physical,35,100,15,"Traps opponent, damaging them for 4-5 turns."
Snipe Shot,water,special,80,100,15,Ignores moves and abilities that draw in moves. High critical hit ratio.
Spirit Break,fairy,physical,75,100,15,Lowers opponent's Special Attack.
Steel Beam,steel,special,140,95,5,User loses 50% of its HP.
Steel Roller,steel,physical,130,100,5,Fails if no Terrain in effect.
Strange Steam,fairy,special,90,95,10,May confuse opponent.
Stuff Cheeks,normal,status,none,none,10,"The user eats its held Berry, then sharply raises its Defense stat."
Surging Strikes,water,physical,25,100,5,Always results in a critical hit and ignores stat changes.
Tar Shot,rock,status,none,100,15,Lowers the opponent's Speed and makes them weaker to Fire-type moves.
Teatime,normal,status,none,none,10,Forces all Pokémon on the field to eat their berries.
Terrain Pulse,normal,special,50,100,10,Type and power change depending on the Terrain in effect.
Thunder Cage,electric,special,80,90,15,"Deals damage and traps opponent, damaging them for 4-5 turns."
Thunderous Kick,fighting,physical,90,100,10,Lowers opponent's Defense.
Triple Axel,ice,physical,20,90,10,Attacks thrice with more power each time.
Wicked Blow,dark,physical,80,100,5,Always results in a critical hit and ignores stat changes.
