Dex Num,Name,SE damage to,NVE damage to,SE damage from,NVE damage from
#070,Weepinbell,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#071,Victreebel,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#072,Tentacool,"['fire', 'fairy']","['water', 'poison', 'ghost', 'dragon', 'steel']","['electric', 'ground', 'psychic']","['fire', 'water', 'ice', 'fighting', 'poison', 'bug', 'steel', 'fairy']"
#073,Tentacruel,"['fire', 'fairy']","['water', 'poison', 'ghost', 'dragon', 'steel']","['electric', 'ground', 'psychic']","['fire', 'water', 'ice', 'fighting', 'poison', 'bug', 'steel', 'fairy']"
#074,Geodude,"['fire', 'electric', 'ice', 'poison', 'rock']","['grass', 'fighting', 'ground', 'flying']","['water', 'grass', 'ice', 'fighting', 'ground', 'steel']","['normal', 'fire', 'electric', 'poison', 'flying', 'rock']"
#075,Graveler,"['fire', 'electric', 'ice', 'poison', 'rock']","['grass', 'fighting', 'ground', 'flying']","['water', 'grass', 'ice', 'fighting', 'ground', 'steel']","['normal', 'fire', 'electric', 'poison', 'flying', 'rock']"
#076,Golem,"['fire', 'electric', 'ice', 'poison', 'rock']","['grass', 'fighting', 'ground', 'flying']","['water', 'grass', 'ice', 'fighting', 'ground', 'steel']","['normal', 'fire', 'electric', 'poison', 'flying', 'rock']"
#077,Ponyta,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#078,Rapidash,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#079,Slowpoke,"['fire', 'fighting', 'poison', 'ground', 'rock']","['water', 'grass', 'psychic', 'dragon', 'dark', 'steel']","['electric', 'grass', 'bug', 'ghost', 'dark']","['fire', 'water', 'ice', 'fighting', 'psychic', 'steel']"
#080,Slowbro,"['fire', 'fighting', 'poison', 'ground', 'rock']","['water', 'grass', 'psychic', 'dragon', 'dark', 'steel']","['electric', 'grass', 'bug', 'ghost', 'dark']","['fire', 'water', 'ice', 'fighting', 'psychic', 'steel']"
#081,Magnemite,"['ice', 'flying', 'rock', 'fairy']","['fire', 'electric', 'grass', 'ground', 'dragon', 'steel']","['fire', 'fighting', 'ground']","['normal', 'electric', 'grass', 'ice', 'poison', 'flying', 'psychic', 'bug', 'rock', 'dragon', 'steel', 'fairy']"
#082,Magneton,"['ice', 'flying', 'rock', 'fairy']","['fire', 'electric', 'grass', 'ground', 'dragon', 'steel']","['fire', 'fighting', 'ground']","['normal', 'electric', 'grass', 'ice', 'poison', 'flying', 'psychic', 'bug', 'rock', 'dragon', 'steel', 'fairy']"
#083,Farfetch'd,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#084,Doduo,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#085,Dodrio,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#086,Seel,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#087,Dewgong,"['ground', 'flying', 'rock']","['water', 'ice', 'steel']","['electric', 'grass', 'fighting', 'rock']","['water', 'ice']"
#088,Grimer,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#089,Muk,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#090,Shellder,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#091,Cloyster,"['ground', 'flying', 'rock']","['water', 'ice', 'steel']","['electric', 'grass', 'fighting', 'rock']","['water', 'ice']"
#092,Gastly,"['grass', 'psychic', 'fairy']","['normal', 'poison', 'ground', 'rock', 'dark', 'steel']","['ground', 'psychic', 'ghost', 'dark']","['normal', 'grass', 'fighting', 'poison', 'bug', 'fairy']"
#093,Haunter,"['grass', 'psychic', 'fairy']","['normal', 'poison', 'ground', 'rock', 'dark', 'steel']","['ground', 'psychic', 'ghost', 'dark']","['normal', 'grass', 'fighting', 'poison', 'bug', 'fairy']"
#094,Gengar,"['grass', 'psychic', 'fairy']","['normal', 'poison', 'ground', 'rock', 'dark', 'steel']","['ground', 'psychic', 'ghost', 'dark']","['normal', 'grass', 'fighting', 'poison', 'bug', 'fairy']"
#095,Onix,"['fire', 'electric', 'ice', 'poison', 'rock']","['grass', 'fighting', 'ground', 'flying']","['water', 'grass', 'ice', 'fighting', 'ground', 'steel']","['normal', 'fire', 'electric', 'poison', 'flying', 'rock']"
#096,Drowzee,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#097,Hypno,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#098,Krabby,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#099,Kingler,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#100,Voltorb,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#101,Electrode,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#102,Exeggcute,"['water', 'fighting', 'ground', 'rock']","['fire', 'grass', 'flying', 'psychic', 'bug', 'dragon', 'dark', 'steel']","['fire', 'ice', 'poison', 'flying', 'bug', 'ghost', 'dark']","['water', 'electric', 'grass', 'fighting', 'ground', 'psychic']"
#103,Exeggutor,"['water', 'fighting', 'ground', 'rock']","['fire', 'grass', 'flying', 'psychic', 'bug', 'dragon', 'dark', 'steel']","['fire', 'ice', 'poison', 'flying', 'bug', 'ghost', 'dark']","['water', 'electric', 'grass', 'fighting', 'ground', 'psychic']"
#104,Cubone,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#105,Marowak,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#106,Hitmonlee,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#107,Hitmonchan,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#108,Lickitung,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#109,Koffing,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#110,Weezing,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#111,Rhyhorn,"['fire', 'electric', 'ice', 'poison', 'rock']","['grass', 'fighting', 'ground', 'flying']","['water', 'grass', 'ice', 'fighting', 'ground', 'steel']","['normal', 'fire', 'electric', 'poison', 'flying', 'rock']"
#112,Rhydon,"['fire', 'electric', 'ice', 'poison', 'rock']","['grass', 'fighting', 'ground', 'flying']","['water', 'grass', 'ice', 'fighting', 'ground', 'steel']","['normal', 'fire', 'electric', 'poison', 'flying', 'rock']"
#113,Chansey,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#114,Tangela,"['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']","['water', 'ground', 'rock']","['fire', 'grass', 'poison', 'flying', 'bug', 'dragon', 'steel']"
#115,Kangaskhan,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#116,Horsea,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#117,Seadra,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#118,Goldeen,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#119,Seaking,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#120,Staryu,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#121,Starmie,"['fire', 'fighting', 'poison', 'ground', 'rock']","['water', 'grass', 'psychic', 'dragon', 'dark', 'steel']","['electric', 'grass', 'bug', 'ghost', 'dark']","['fire', 'water', 'ice', 'fighting', 'psychic', 'steel']"
#122,Mr. Mime,"['fighting', 'dragon']","['normal', 'psychic', 'dark', 'steel']","['poison', 'ghost', 'steel']","['fighting', 'psychic', 'dragon']"
#123,Scyther,"['grass', 'psychic', 'bug', 'dark']","['fire', 'electric', 'poison', 'flying', 'rock', 'ghost', 'steel', 'fairy']","['fire', 'electric', 'ice', 'flying', 'rock']","['grass', 'fighting', 'ground', 'bug']"
#124,Jynx,"['grass', 'fighting', 'poison', 'ground', 'flying', 'dragon']","['fire', 'water', 'ice', 'psychic', 'dark', 'steel']","['fire', 'bug', 'rock', 'ghost', 'dark', 'steel']","['ice', 'psychic']"
#125,Electabuzz,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#126,Magmar,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#127,Pinsir,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']","['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']"
#128,Tauros,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#129,Magikarp,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#130,Gyarados,"['fire', 'fighting', 'ground', 'bug']","['water', 'electric', 'dragon', 'steel']","['electric', 'rock']","['fire', 'water', 'fighting', 'ground', 'bug', 'steel']"
#131,Lapras,"['ground', 'flying', 'rock']","['water', 'ice', 'steel']","['electric', 'grass', 'fighting', 'rock']","['water', 'ice']"
#132,Ditto,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#133,Eevee,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#134,Vaporeon,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#135,Jolteon,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#136,Flareon,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#137,Porygon,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#138,Omanyte,"['fire', 'ice', 'flying', 'bug', 'rock']","['water', 'grass', 'fighting', 'dragon', 'steel']","['electric', 'grass', 'fighting', 'ground']","['normal', 'fire', 'ice', 'poison', 'flying']"
#139,Omastar,"['fire', 'ice', 'flying', 'bug', 'rock']","['water', 'grass', 'fighting', 'dragon', 'steel']","['electric', 'grass', 'fighting', 'ground']","['normal', 'fire', 'ice', 'poison', 'flying']"
#140,Kabuto,"['fire', 'ice', 'flying', 'bug', 'rock']","['water', 'grass', 'fighting', 'dragon', 'steel']","['electric', 'grass', 'fighting', 'ground']","['normal', 'fire', 'ice', 'poison', 'flying']"
#141,Kabutops,"['fire', 'ice', 'flying', 'bug', 'rock']","['water', 'grass', 'fighting', 'dragon', 'steel']","['electric', 'grass', 'fighting', 'ground']","['normal', 'fire', 'ice', 'poison', 'flying']"
#142,Aerodactyl,"['fire', 'grass', 'ice', 'flying', 'bug']","['electric', 'ground', 'rock', 'steel']","['water', 'electric', 'ice', 'rock', 'steel']","['normal', 'fire', 'poison', 'ground', 'flying', 'bug']"
#143,Snorlax,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#144,Articuno,"['grass', 'fighting', 'ground', 'flying', 'bug', 'dragon']","['fire', 'water', 'electric', 'ice', 'rock', 'steel']","['fire', 'electric', 'rock', 'steel']","['grass', 'ground', 'bug']"
#145,Zapdos,"['water', 'fighting', 'flying', 'bug']","['electric', 'ground', 'rock', 'dragon', 'steel']","['ice', 'rock']","['grass', 'fighting', 'ground', 'flying', 'bug', 'steel']"
#146,Moltres,"['grass', 'ice', 'fighting', 'bug']","['fire', 'water', 'electric', 'rock', 'dragon']","['water', 'electric', 'rock']","['fire', 'grass', 'fighting', 'ground', 'bug', 'steel']"
#147,Dratini,['dragon'],"['steel', 'fairy']",['dragon'],"['steel', 'fairy']"
#148,Dragonair,['dragon'],"['steel', 'fairy']",['dragon'],"['steel', 'fairy']"
#149,Dragonite,"['grass', 'fighting', 'bug', 'dragon']","['electric', 'rock', 'steel', 'fairy']","['ice', 'rock', 'dragon', 'fairy']","['fire', 'water', 'grass', 'fighting', 'ground', 'bug']"
#150,Mewtwo,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#151,Mew,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
